-97.58	26.02	0.37	0.43	0.38	0.48	0.42	0.49	0.57	0.70	0.48	0.44	0.44	0.36
-97.19	26.03	0.39	0.43	0.42	0.49	0.41	0.50	0.48	0.68	0.49	0.41	0.48	0.40
-98.75	26.35	0.32	0.43	0.41	0.41	0.32	0.34	0.48	0.51	0.47	0.39	0.40	0.30
-98.36	26.36	0.34	0.45	0.41	0.47	0.33	0.40	0.55	0.64	0.52	0.40	0.42	0.33
-97.97	26.37	0.36	0.46	0.43	0.46	0.38	0.46	0.57	0.78	0.45	0.39	0.42	0.33
-97.58	26.37	0.37	0.45	0.40	0.51	0.40	0.48	0.63	0.69	0.50	0.45	0.44	0.36
-99.15	26.69	0.32	0.39	0.41	0.38	0.31	0.31	0.39	0.45	0.42	0.35	0.36	0.31
-98.76	26.70	0.33	0.41	0.42	0.42	0.33	0.32	0.48	0.54	0.47	0.40	0.38	0.29
-98.37	26.71	0.36	0.43	0.43	0.46	0.40	0.44	0.53	0.59	0.47	0.38	0.41	0.31
-97.98	26.71	0.36	0.48	0.43	0.46	0.42	0.48	0.57	0.76	0.44	0.39	0.39	0.34
-97.59	26.72	0.36	0.48	0.44	0.51	0.43	0.50	0.59	0.68	0.46	0.39	0.44	0.38
-99.16	27.04	0.31	0.41	0.36	0.37	0.31	0.29	0.38	0.42	0.44	0.34	0.37	0.31
-98.77	27.05	0.34	0.45	0.42	0.44	0.35	0.35	0.41	0.53	0.44	0.37	0.38	0.31
-98.38	27.06	0.35	0.46	0.43	0.47	0.41	0.40	0.53	0.64	0.43	0.36	0.40	0.31
-97.98	27.06	0.36	0.45	0.44	0.48	0.43	0.49	0.57	0.74	0.43	0.38	0.39	0.34
-97.59	27.07	0.33	0.45	0.43	0.49	0.45	0.47	0.51	0.58	0.41	0.35	0.40	0.33
-99.18	27.39	0.33	0.40	0.38	0.38	0.28	0.30	0.40	0.42	0.38	0.32	0.37	0.29
-98.78	27.40	0.34	0.43	0.40	0.44	0.36	0.33	0.42	0.47	0.41	0.33	0.39	0.30
-98.39	27.41	0.34	0.46	0.41	0.50	0.41	0.43	0.45	0.60	0.42	0.38	0.39	0.31
-97.99	27.42	0.32	0.43	0.40	0.51	0.47	0.52	0.57	0.69	0.46	0.34	0.36	0.32
-97.59	27.42	0.33	0.44	0.36	0.47	0.43	0.46	0.47	0.58	0.42	0.33	0.37	0.32
-80.98	25.39	0.58	0.48	0.45	0.34	0.39	0.40	0.47	0.53	0.71	0.51	0.58	0.58
-80.61	25.29	0.68	0.57	0.47	0.38	0.40	0.37	0.41	0.52	0.72	0.61	0.67	0.63
-99.59	27.72	0.30	0.37	0.35	0.37	0.24	0.27	0.31	0.33	0.36	0.29	0.34	0.28
-99.19	27.74	0.31	0.39	0.37	0.36	0.29	0.30	0.39	0.39	0.36	0.29	0.36	0.29
-98.80	27.75	0.31	0.40	0.39	0.44	0.32	0.35	0.48	0.45	0.37	0.31	0.36	0.28
-98.40	27.76	0.32	0.44	0.43	0.50	0.41	0.44	0.48	0.57	0.41	0.34	0.37	0.29
-98.00	27.77	0.31	0.45	0.41	0.54	0.47	0.50	0.55	0.66	0.43	0.35	0.38	0.30
-97.60	27.77	0.34	0.45	0.39	0.50	0.44	0.51	0.57	0.59	0.39	0.32	0.40	0.32
-81.24	25.82	0.60	0.51	0.44	0.40	0.39	0.41	0.39	0.46	0.65	0.50	0.59	0.57
-80.87	25.72	0.65	0.53	0.45	0.37	0.36	0.42	0.40	0.47	0.68	0.52	0.63	0.59
