-97.58	26.02	0.76	0.75	0.77	0.74	0.80	0.86	0.94	0.97	0.89	0.77	0.74	0.77
-97.19	26.03	0.73	0.76	0.75	0.71	0.79	0.85	0.92	0.95	0.90	0.81	0.76	0.75
-98.75	26.35	0.74	0.76	0.76	0.73	0.67	0.84	0.83	0.85	0.80	0.71	0.71	0.76
-98.36	26.36	0.75	0.78	0.77	0.75	0.73	0.87	0.90	0.88	0.83	0.73	0.72	0.75
-97.97	26.37	0.76	0.77	0.76	0.78	0.77	0.88	0.94	0.94	0.86	0.72	0.72	0.77
-97.58	26.37	0.76	0.77	0.77	0.75	0.82	0.88	0.94	0.97	0.88	0.73	0.74	0.77
-99.15	26.69	0.74	0.77	0.74	0.74	0.64	0.81	0.81	0.79	0.79	0.68	0.71	0.74
-98.76	26.70	0.72	0.78	0.75	0.74	0.71	0.86	0.86	0.85	0.81	0.69	0.73	0.74
-98.37	26.71	0.72	0.78	0.77	0.77	0.73	0.87	0.90	0.90	0.85	0.72	0.72	0.75
-97.98	26.71	0.75	0.75	0.77	0.79	0.77	0.89	0.94	0.95	0.86	0.71	0.74	0.75
-97.59	26.72	0.76	0.75	0.77	0.76	0.81	0.89	0.94	0.96	0.87	0.75	0.75	0.76
-99.16	27.04	0.72	0.76	0.74	0.74	0.67	0.82	0.82	0.81	0.78	0.69	0.71	0.73
-98.77	27.05	0.71	0.75	0.74	0.76	0.72	0.85	0.86	0.84	0.82	0.70	0.73	0.73
-98.38	27.06	0.72	0.76	0.76	0.78	0.77	0.88	0.89	0.89	0.85	0.69	0.72	0.73
-97.98	27.06	0.74	0.75	0.76	0.78	0.78	0.88	0.93	0.93	0.84	0.69	0.72	0.75
-97.59	27.07	0.74	0.73	0.75	0.75	0.78	0.88	0.92	0.92	0.83	0.71	0.72	0.75
-99.18	27.39	0.68	0.74	0.71	0.70	0.69	0.82	0.81	0.81	0.80	0.65	0.69	0.73
-98.78	27.40	0.69	0.74	0.74	0.75	0.71	0.84	0.84	0.85	0.82	0.70	0.70	0.72
-98.39	27.41	0.72	0.75	0.77	0.78	0.77	0.87	0.90	0.88	0.84	0.68	0.73	0.73
-97.99	27.42	0.74	0.74	0.77	0.78	0.79	0.87	0.92	0.92	0.81	0.68	0.74	0.75
-97.59	27.42	0.74	0.72	0.77	0.76	0.79	0.88	0.93	0.92	0.82	0.68	0.73	0.74
-80.98	25.39	0.74	0.75	0.69	0.73	0.77	0.79	0.81	0.85	0.92	0.88	0.81	0.79
-80.61	25.29	0.83	0.77	0.72	0.73	0.78	0.73	0.76	0.80	0.94	0.90	0.85	0.83
-99.59	27.72	0.68	0.73	0.72	0.70	0.68	0.79	0.78	0.73	0.74	0.64	0.67	0.72
-99.19	27.74	0.70	0.73	0.72	0.72	0.69	0.82	0.84	0.82	0.78	0.67	0.65	0.72
-98.80	27.75	0.70	0.74	0.73	0.73	0.74	0.84	0.85	0.87	0.81	0.69	0.69	0.72
-98.40	27.76	0.71	0.74	0.75	0.77	0.75	0.85	0.87	0.86	0.83	0.69	0.72	0.74
-98.00	27.77	0.73	0.73	0.75	0.78	0.80	0.89	0.92	0.91	0.83	0.65	0.72	0.74
-97.60	27.77	0.73	0.72	0.76	0.78	0.80	0.89	0.93	0.93	0.81	0.67	0.72	0.75
-81.24	25.82	0.78	0.76	0.73	0.75	0.80	0.78	0.79	0.77	0.89	0.86	0.82	0.82
-80.87	25.72	0.79	0.75	0.71	0.75	0.78	0.77	0.78	0.78	0.90	0.89	0.83	0.83
-80.50	25.62	0.85	0.79	0.75	0.77	0.78	0.73	0.75	0.81	0.95	0.91	0.87	0.85
-100.01	28.06	0.68	0.74	0.71	0.74	0.67	0.75	0.76	0.72	0.73	0.64	0.68	0.72
-99.61	28.08	0.69	0.73	0.72	0.72	0.68	0.78	0.79	0.74	0.74	0.64	0.68	0.70
-99.21	28.09	0.69	0.72	0.73	0.73	0.70	0.82	0.84	0.81	0.79	0.68	0.66	0.71
-98.81	28.10	0.72	0.72	0.72	0.74	0.73	0.85	0.86	0.86	0.79	0.66	0.67	0.72
-98.41	28.11	0.72	0.74	0.73	0.77	0.76	0.86	0.87	0.87	0.80	0.68	0.68	0.73
-98.01	28.12	0.73	0.74	0.75	0.80	0.79	0.90	0.92	0.91	0.83	0.68	0.73	0.74
-97.60	28.13	0.74	0.73	0.73	0.80	0.82	0.91	0.95	0.94	0.83	0.68	0.73	0.74
-97.20	28.13	0.74	0.75	0.75	0.80	0.82	0.90	0.95	0.96	0.85	0.74	0.76	0.75
-81.51	26.24	0.81	0.80	0.76	0.82	0.85	0.86	0.80	0.80	0.90	0.86	0.84	0.84
-81.13	26.15	0.80	0.79	0.77	0.80	0.82	0.85	0.81	0.80	0.92	0.87	0.84	0.84
-80.76	26.05	0.80	0.76	0.76	0.76	0.79	0.79	0.76	0.77	0.92	0.88	0.86	0.83
-80.39	25.96	0.82	0.78	0.76	0.78	0.79	0.76	0.75	0.79	0.94	0.90	0.86	0.84
-100.03	28.41	0.67	0.74	0.69	0.73	0.67	0.71	0.77	0.70	0.72	0.67	0.67	0.71
-99.63	28.43	0.67	0.72	0.68	0.72	0.68	0.77	0.80	0.74	0.75	0.63	0.68	0.69
-99.23	28.45	0.69	0.72	0.71	0.73	0.71	0.82	0.84	0.78	0.76	0.66	0.67	0.70
-98.82	28.46	0.70	0.72	0.72	0.73	0.73	0.84	0.86	0.83	0.79	0.68	0.67	0.71
-98.42	28.47	0.70	0.73	0.71	0.77	0.76	0.87	0.88	0.86	0.80	0.67	0.71	0.72
-98.01	28.48	0.71	0.73	0.72	0.79	0.79	0.89	0.91	0.90	0.82	0.69	0.74	0.73
